Timestamp,Name of your College ,Age in years (please enter only a number/integer),Which district is your hometown located in?,PINCODE of your home address,Approx. Distance of your home from IIT Bhilai (in Kms). Enter only a number (floating point).,Approx. Time to reach IIT Bhilai from your hometown (in hours). Enter only a number (floating point) ,Did you appear in JEE?,"How comfortable are you with math of data science fundamentals: Linear algebra, Optimization, Statistics, Probability?",How comfortable are you with coding in Python?,What is your career goal?,What do you expect to learn from this workshop?,"What applications of data science are you most interested in? Give examples from your daily life, or things that impact you most...or where you can make an impact."
07-12-2025 16:22,Krishna Engineering College khamariya ,2005,Durg ,490006,10kms,30 min,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Become a software developer ,To learn new things or technology ,
07-12-2025 16:23,Rungta college of engineering and technology ,21,Saran,841410,1200km,32 hours,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Data analyst ,I expected to gain a deeper understanding of core concept cover in this workshop ,Finance sector or education 
07-12-2025 16:27,"Rungta College of Engineering and Technology, Bhilai ",20,Ranchi,834005,604,13,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects, Proficient: Used numpy, pandas, sklearn and made my own projects",My career goal is to become a skilled data scientist who can turn complex data into meaningful insights that drive real-world impact.,"I expect to gain hands-on experience in data wrangling, visualization, and machine learning, and learn how to apply these skills to solve real-world problems.
","I?m interested in applying data science to healthcare, business and education to improve lives through prediction and personalization."
07-12-2025 16:29,Krishna engineering college bhilai ,22,Kanker,494337,3,0.15,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Become a Ml or data engineer ,Learn about data science ,Power bi 
07-12-2025 16:29,Krishna Engineering College ,22,Durg ,490023,5.1 kms,30 mins,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",To Become a Data Scientist ,"I expect to gain practical insights into data science concepts such as data preprocessing, machine learning, and visualization techniques. Through interactive sessions and hands-on projects, I hope to strengthen my analytical skills and understand how data can drive real-world decision-making.",1.) Natural Language processing 2) Personalized Recommendations etc.
07-12-2025 16:35,University Teaching Department (Csvtu),20,Durg ,490026,12,0.5 hours ,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Data analyst ,To have an in-depth knowledge of how mathematically data science works can be done,Tax evasion and incarceration rates
07-12-2025 16:35,Rungta college of engineering and technology ,21,Kamrup(M),781034,1800,72,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",To be a data scientist ,"I'm expecting to learn more about python programming, how to solve using different parameters and functions ","I?m most interested in data science applications that impact people?s daily lives?especially in the areas of healthcare, education, and personal productivity.for example - in healthcare services, google maps etc"
07-12-2025 16:37,Krishna Engineering College Bhilai ,24 year old in 2025,Durg ,491001,5 km,15 minutes ,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",AI scientist & Enterpreneur ,Basic of Data science ,"In AI , Amazon (E-commerce)"
07-12-2025 16:39,CSVTU,20,Kushinagar,274304,1000,24,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",To get a decent job,AI,In field of AI
07-12-2025 16:39,U.T.D. C.S.V.T.U,20,Raipur ,492001,10,0.45,Appeared but didn't Qualify,Maths itself is not my thing. I prefer visual thinking.,"Proficient: Used numpy, pandas, sklearn and made my own projects",Being part of AI revolution.,"To refine my skills and add new edge.

",How exploring and exploitation of data can open new dimensions of understanding 
07-12-2025 16:40,Krishna engineering College ,23,Raipur ,492001,48kms,2 hr,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Best Ai engineer,Knowledge and experience ,"Yes , iit certificate is improve my resume and I gaie Good knowledge for iit professor I am expected"
07-12-2025 16:42,KEC Bhilai ,21,Durg ,490001,8.9 Km,21 minutes ,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects","I want to get into data science or analytics. I enjoy finding patterns in data and solving problems, so I?d like to build a career where I can work on real-world challenges using data.","I?m hoping to get more hands-on experience. I want to learn how real data problems are solved, understand the process step-by-step, and also get some guidance on using tools like sklearn or seaborn properly.","I?m interested in things that impact daily life?like predicting electricity usage, analyzing online habits, or improving education systems. Even small insights from data can make a big difference, and that really fascinates me."
07-12-2025 16:43,CSVTU,20,Balaghat,481337,300,6,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Professor,Ai mL,In the field of AI
07-12-2025 16:44,Rungta College OF engineering and technology ,20,Bilaspur ,495330,197,5,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",My career goal is to become a skilled full-stack developer and contribute to innovative projects in the tech industry.and also want to build a strong foundation in data science and aiml,"?To learn the basics of data analysis, how to clean and interpret data, and use tools like Excel or Python to extract insights.?",?Healthcare and education ? where data can improve lives by predicting risks or personalizing learning. These impact me and others deeply.?
07-12-2025 16:46,"RCET, Bhilai",20,"Korba, CG",495452,230,5,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects",Becoming a software engineer and do research in AI ML.,"Understanding the core data science concepts and their applications, current industry practices and improving my problem solving abilities. I also want to apply these concepts in real world problems and to gain knowledge about the tools used for the same.","Data science helps make smart decisions using data. I like how it can be used to predict diseases early and diagnose it. After learning data scuence, i would like to apply it to make smart applications that solve real world medical problems."
07-12-2025 16:46,Rungta College of Engineering and Technology Bhilai(R1) ,19,Durg,490001,8km,0.42h,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects",Data Analysis ,"want to learn  data science and how to work with data using tools like Python.
","I?m interested in how data science can help predict weather, pollution, and support climate action."
07-12-2025 16:46,Csvtu Bhilai ,21,Madhepura ,852115,1200kms,32 hours,Qualified JEE Mains,"Proficient: can solve problems, model data mathematically","Intermediate: Some familiarity, made 1-2 projects",Data scientist ,Project ,"Health care, marketing,finance"
07-12-2025 16:49,RCET BHILAI ,20,DHAMTARI ,493770,60,2,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",ML ENGINEER,ML IN DEEP ,USING LLM MODELS LIKE CHATGPT IN DAILY LIFE. ASKING CHATGPT TO EDIT THE PHOTOS THIS IS WHAT I WANTO TO LEARN
07-12-2025 16:52,Krishna Engineering College ,21,Durg ,490020,6 Kms,0,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear",Never done coding in python. Done coding in other languages,"My career goal is to become a skilled Web Developer with strong frontend and backend skills.I believe that learning data science will help me understand how to work with data efficiently in web-based platforms, making my applications more intelligent and data-driven.","I expect to get an introductory understanding of how data science works ? from data collection and cleaning to visualization and prediction. I want to explore how data science can be integrated with web development, and also get hands-on experience with real-world tools and techniques used in data science projects.","As a web development enthusiast, I?m interested in how data science is used in recommendation systems (like Netflix or Amazon), user behavior analytics, and chatbots. These are features that improve user experience on websites and apps. Learning how to apply data science in such areas can help me build smarter and more engaging web applications in the future."
07-12-2025 16:52,JB Institute of technology ,18,Raebareli ,229010,720,24,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects, Proficient: Used numpy, pandas, sklearn and made my own projects",Full stack developer ,"I expect to learn the core concepts of data science, hands-on tools, and how to apply data-driven approaches to solve real-world problems","I?m most interested in using data science for optimizing agriculture and logistics. For example, predicting crop yields using weather and soil data or solving inventory mismatches in warehouses?areas where I can make a real impact through tech."
07-12-2025 16:54,Krishna Engineering College khamariya Bhilai ,2005,Durg,490006,8 kms,30 min,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Become a software developer ,To learn new technologies and how to apply in real world problems ,AI trained
07-12-2025 16:55,Nitish kumar,20,BUXAR,802101,1000,24,Appeared but didn't Qualify,"Proficient: can solve problems, model data mathematically","Intermediate: Some familiarity, made 1-2 projects",Developer ,Problem solving skill,Solving real life problem is feeding data to new model .
07-12-2025 16:55,J B Institute of technology ,18,Mau,275303,550,24,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Software engineer ,To apply data science in real world or made some of the project on this based . ,Business intelligence and finance. 
07-12-2025 16:56,Jb institute of technology ,21,Agra,282006,1535 km,30 hr 50 min,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Data scientist ,About data science how we use in ai etc,Like fraud detection 
07-12-2025 16:57,Rungta college of engineering and technology,19 years,Durg Chhattisgarh ,491001,9 kms,20 minutes,Never appeared in JEE,"Intermediate: can model some problems, solve some problems",Never done coding in python. Done coding in other languages,Go with my higher studies in management ,To learn new things that can cope with my education and experience ,I am interested in how the data is stored and encrypted more interested towards cyber work
07-12-2025 16:57,JB Institute of technology ,20,Nainital,244715,1535 kms,30 hours,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Data Scientist ,To explore and making projects in AI ,Healthcare
07-12-2025 16:57,Rungta College of engineering and technology ,20,Bhilai ,490023,8.8km,30 min,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems",Never done coding in python. Done coding in other languages,Web developer ,Strong fundamentals of data science ,Educational and personalized learning 
07-12-2025 17:00,Rungta college engineering and technology ,20,Durg,490023,5km,Ok,Qualified JEE Mains,"Beginner: can't understand how to model data with maths, concepts not clear","Proficient: Used numpy, pandas, sklearn and made my own projects",Software engineer ,Understand concept to skill boost job Read ,indian Railway website ticket booking 
07-12-2025 17:01,Christian College of engineering and technology,21,Bhilai,430029,17 km,30 min ,Never appeared in JEE,Maths itself is not my thing. I prefer visual thinking.,"Intermediate: Some familiarity, made 1-2 projects",Being a good software developer ,Learn more about the python,Everything
07-12-2025 17:04,Rungta College of engineering and technology ,19,Raipur ,492001,30,1.3,Appeared but didn't Qualify,Maths itself is not my thing. I prefer visual thinking.,"Intermediate: Some familiarity, made 1-2 projects",penetration tester,how to visualize data and working with datasets ,"I?m most interested in cybersecurity applications of data science, especially in areas like fraud detection, anomaly detection and intrusion detection systems"
07-12-2025 17:04,Christian college of engineering and technology ,20,Raipur,492015,47,1.5,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems",Never done coding in python. Done coding in other languages,Interested in being data analyst and tester,To learn and grab more and more knowledge of my field,
07-12-2025 17:04,UTD CSVTU,20,Nagpur ,440003,252,4.4,Qualified JEE Advanced,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects, Proficient: Used numpy, pandas, sklearn and made my own projects",Game development ,Ai and ml use more effectively ,Expenses in my daily life is and good example 
07-12-2025 17:06,Christian College of Engineering and Technology Bhilai,20,Durg,491001,9.5 km,25 min,Never appeared in JEE,"Proficient: can solve problems, model data mathematically",Never done coding in python. Done coding in other languages,Data scientists,AI ML,"I'm most interested in the applications of data science in healthcare and education, because these are the two areas that impact me and people around me the most in daily life.  For example, during the COVID-19 pandemic, I saw how data science was used to track virus spread, analyze symptoms, predict hotspots, and help in vaccine development. That made me realize how powerful data is in saving lives."
07-12-2025 17:08,"RCET, Bhilai ",20,Deoria ,274001,4.5km,10min,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Skilled professional in the field of technology ,Expect to gain new insights and hands-on experience in the field through this workshop,
07-12-2025 17:10,UTD - CSVTU,20,Raipur ,492007,43.9,1.43,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Proficient: Used numpy, pandas, sklearn and made my own projects",Machine learning Engineer ,Learning foundations of ai/ml ,"Predictive analysis, fraud detection "
07-12-2025 17:14,Rungta College of engineering & Technology ,21,Ranchi,834001,700km,20hours,Qualified JEE Mains,"Proficient: can solve problems, model data mathematically","Intermediate: Some familiarity, made 1-2 projects, Proficient: Used numpy, pandas, sklearn and made my own projects",I want to be a businessman ,"



I expect to gain a strong foundational understanding of Python programming, including core concepts like data types, control structures, functions, and modules. I'm also looking forward to learning about real-world applications of Python in fields like data analysis, automation, and web development. Since this workshop is being held at IIT Bhilai, I?m excited to learn from experienced mentors and explore advanced topics such as libraries like NumPy, Pandas, or even basics of machine learning if included. Overall, I aim to enhance my problem-solving skills using Python and apply it effectively in both academic projects and real-world scenarios.
","I?m most interested in the applications of data science in healthcare, education, and social media analytics, as these directly impact people?s lives and daily experiences.  In healthcare, data science can help predict disease outbreaks, personalize treatment plans, and improve diagnostics using patient data ? something that can literally save lives.  In education, data analytics can help track student performance, identify learning gaps, and build personalized learning paths ? which I find relevant as a student myself, and I believe I can contribute here by developing smarter education tools.  Another area is social media analytics ? using data to understand trends, mental health patterns, or even to detect misinformation. As someone active online, I see how this can shape public opinion and behavior.  I?m passionate about applying data science not just to solve problems but to create meaningful impact in communities I?m part of."
07-12-2025 17:15,Rungta college of engineering and technology bhilai Durg chhattisgarh ,19,Durg ,490024,11 km ,28 min ,Never appeared in JEE,"Intermediate: can model some problems, solve some problems",Never done coding in python. Done coding in other languages,Web developer ,Strong fundamentals of data science ,Educational and for build my skill 
07-12-2025 17:20,"University Teaching Department ,Chhattisgarh Swami Vivekanand Technical University ",21,Ghaziabad ,201012,1109,22,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",To become successful in my field and learn all there is to my subject/career field. I want to be at a position where I can gain knowledge about the latest things in my field and be proficient at it., I want to build a good foundation for understanding higher level concepts of AI/ML and get a good grip on these topics as this is a fastly developing field in today's time.,
07-12-2025 17:28,Rungta international skills university,20,KAIMUR BHABUA,802132,,,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects","To become a data scientist and build AI solutions that solve real-world problems in healthcare, education, and society.","I want to gain practical skills in data science tools and understand how real-world data problems are solved using ML.

","I?m interested in using data science for public safety and health?for example, predicting risks or monitoring large events using AI."
07-12-2025 17:34,Rungta international skills university ,20,,,,,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects","To become a data scientist and build AI solutions that solve real-world problems in healthcare, education, and society.",I want to gain practical skills in data science tools and understand how real-world data problems are solved using ML.,"I?m interested in using data science for public safety and health?for example, predicting risks or monitoring large events using AI."
07-12-2025 17:40,JBIT,19,Dehradun ,248197,1535 km,30 hour 50 minutes ,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Data scientist ,Data science,Health care 
07-12-2025 17:42,Rungta College Of engineering and technology,20,Durg,490006,,,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects, Intermediate: Some familiarity, made 1-2 projects",data analyst,"I want to learn the advance level of analysis and visualization, get hands-on experience on real world applications and problems ","Healthcare & Fitness(we use fitness apps like Google Fit or Apple Health. These apps analyze my steps, sleep, and heart rate data to give insights or suggestions.), Education(we use learning platforms like Coursera or Khan Academy, which use data science to suggest courses and track progress.)E-commerce and Retail, Finance(Apps like Google Pay or PhonePe detect suspicious activity and provide budgeting tips), Transportation and Maps, Smart Homes and IoT Devices(Voice assistants like Alexa or Google Assistant learn my daily habits and respond better over time)"
07-12-2025 17:44,Rungta college of engineering and technology ,20,Bhilai ,490024,8.8km,30min,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects, Intermediate: Some familiarity, made 1-2 projects, Never done coding in python. Done coding in other languages",Web Developer ,Strong fundamental of Data science ,Educational and personalized learning 
07-12-2025 17:47,Krishna engineering College,20,Durg,2200,5 km,20 minutes ,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear",Coding is not my thing. I am a math lover...,My goal is to get a good job and grow in my career,How to use tools in real life problem,I am interested in how data science is used in health apps and online shopping. It helps give better suggestions and track daily activities.
07-12-2025 17:56,"RCET , Bihai",21,Sitamarhi,843315,950,28,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects, Intermediate: Some familiarity, made 1-2 projects",Become a data scientist solving real-world problems.,"I expect to learn practical data science skills, including data analysis, machine learning techniques, and real-world problem-solving.",Healthcare and education
07-12-2025 18:09,UTD CSVTU ,20,Patna,800020,1100,24,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects",Short term goal is to kickstart my career in feild of Ai and Data science under reputed firm,I'm excited to learn how machine learning models work behind the scenes and how they can be applied to solve real-world problems.,"I?m really excited about how tech companies use big data to improve the overall user experience?like making apps faster, more personalized, and easier to use. I find it fascinating how they use data to figure out why users leave and what can be done to keep them engaged. I?d love to learn those kinds of skills so I can work on real-time systems that actually solve problems and make an impact on a large scale"
07-12-2025 18:12,CCET,20,Durg,490011,15,40m,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Cyber Security,,
07-12-2025 18:16,"Christain collage of engineering and technology,bhilai",20,Dhamtari,493773,67,1.5 hr,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear",Coding is not my thing. I am a math lover...,Ai engineer,Fundamental of all imp subject important for career,"  I am most interested in the applications of data science in health and fitness, e-commerce, and financial planning. As someone working towards a healthy lifestyle, I see how wearable devices use data science to track calories, steps, and heart rate to give personalized fitness suggestions. In e-commerce, data science helps analyze user behavior to give better product recommendations ? which I find fascinating and useful daily. Additionally, I want to use data science to help middle-class families like mine make smarter financial decisions using predictive analytics and budgeting tools. I believe I can create impactful solutions in these areas by combining data science with real-life needs.   ---  Let me know if you'd like a Hindi version, shorter version, or one tailored more toward AI/tech."
07-12-2025 18:19,Rungta college of engineering and technology Bhial ,20,Korba ,495452,,,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Become a cyber security professional ,To make strong understanding of fundamental of Data science ,
07-12-2025 18:37,RCET,19,Sitamarhi ,843302,5,0.5,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear",Never done coding in python. Done coding in other languages,Become a successful software engineer ,Coding skills ,
07-12-2025 18:40,Krishna Engineering College ,20,Durg,490001,,22 min,Never appeared in JEE,Maths itself is not my thing. I prefer visual thinking.,"Proficient: Used numpy, pandas, sklearn and made my own projects",Web developer ,Data science ,"Health care, social issues etc "
07-12-2025 18:51,"Rungta College Of Engineering And Technology, Bhilai ",21,Sarangarh-Bilaigarh,496551,250,7,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Want To Study MTech through GATE,,
07-12-2025 19:22,Rungta Engineering College Bhilai Chhattisgarh ,20,Purnea,854301,1200 km,24 hrs,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Software Engineer ,Skills and network building ,"I'm most interested in data science applications that solve real-life problems and create positive impact. In healthcare, it helps predict diseases early using wearable data. In education, it enables personalized learning based on student behavior. Social media platforms use it to analyze what content truly connects with people emotionally. I?m also drawn to its role in climate action and smart traffic solutions that improve city life."
07-12-2025 19:23,Rungta College Bhilai,19,Durg,491001,9,0.35,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects, Never done coding in python. Done coding in other languages",Jobs & Placement ,I want to explore Data Science technology and also I want to make new connections with people coming from different colleges.,Machine Learning 
07-12-2025 19:24,Rungta college of engineering and technology ,20,Bhilai,490023,8,0.5,Never appeared in JEE,"Proficient: can solve problems, model data mathematically","Proficient: Used numpy, pandas, sklearn and made my own projects",Data analyst ,"I expect to learn  the fundamentals of data visualization, how to use tools like Python libraries (e.g., Matplotlib, Seaborn), and how to apply these skills to real-world datasets and case studies and also statistics .",I am most interested in Finance and Fraud Detection. Impact: Security and smarter money management.  Example: Credit card fraud detection using real-time anomaly detection models.  Personal Angle: Your bank immediately alerting you about suspicious activity before you even notice.
